Date,Close,High,Low,Open,Volume
01-02-23,18197.44922,18215.15039,18086.5,18131.69922,256100
01-03-23,18232.55078,18251.94922,18149.80078,18163.19922,208700
01-04-23,18042.94922,18243,18020.59961,18230.65039,235200
01-05-23,17992.15039,18120.30078,17892.59961,18101.94922,269900
01-06-23,17859.44922,18047.40039,17795.55078,18008.05078,238200
01-09-23,18101.19922,18141.40039,17936.15039,17952.55078,257200
01-10-23,17914.15039,18127.59961,17856,18121.30078,283300
01-11-23,17895.69922,17976.34961,17824.34961,17924.25,259900
01-12-23,17858.19922,17945.80078,17761.65039,17920.84961,227800
01-13-23,17956.59961,17999.34961,17774.25,17867.5,256700
01-16-23,17894.84961,18049.65039,17853.65039,18033.15039,206200
01-17-23,18053.30078,18072.05078,17886.94922,17922.80078,219100
01-18-23,18165.34961,18183.75,18032.44922,18074.30078,255800
01-19-23,18107.84961,18155.19922,18063.75,18119.80078,237800
01-20-23,18027.65039,18145.44922,18016.19922,18115.59961,237200
01-23-23,18118.55078,18162.59961,18063.44922,18118.44922,202500
01-24-23,18118.30078,18201.25,18078.65039,18183.94922,216900
01-25-23,17891.94922,18100.59961,17846.15039,18093.34961,257200
01-27-23,17604.34961,17884.75,17493.55078,17877.19922,476300
01-30-23,17648.94922,17709.15039,17405.55078,17541.94922,432400
01-31-23,17662.15039,17735.69922,17537.55078,17731.44922,398300
02-01-23,17616.30078,17972.19922,17353.40039,17811.59961,512900
02-02-23,17610.40039,17653.90039,17445.94922,17517.09961,490100
02-03-23,17854.05078,17870.30078,17584.19922,17721.75,424100
02-06-23,17764.59961,17823.69922,17698.34961,17818.55078,282500
02-07-23,17721.5,17811.15039,17652.55078,17790.09961,354400
02-08-23,17871.69922,17898.69922,17744.15039,17750.30078,291000
02-09-23,17893.44922,17916.90039,17779.80078,17885.5,260900
02-10-23,17856.5,17876.94922,17801,17847.55078,232000
02-13-23,17770.90039,17880.69922,17719.75,17859.09961,231300
02-14-23,17929.84961,17954.55078,17800.05078,17840.34961,244500
02-15-23,18015.84961,18034.09961,17853.80078,17896.59961,229300
02-16-23,18035.84961,18134.75,18000.65039,18094.75,230200
02-17-23,17944.19922,18034.25,17884.59961,17974.84961,208100
02-20-23,17844.59961,18004.34961,17818.40039,17965.55078,174600
02-21-23,17826.69922,17924.90039,17800.30078,17905.80078,198200
02-22-23,17554.30078,17772.5,17529.44922,17755.34961,204000
02-23-23,17511.25,17620.05078,17455.40039,17574.65039,240800
02-24-23,17465.80078,17599.75,17421.80078,17591.34961,209400
02-27-23,17392.69922,17451.59961,17299,17428.59961,246400
02-28-23,17303.94922,17440.44922,17255.19922,17383.25,420900
03-01-23,17450.90039,17467.75,17345.25,17360.09961,272900
03-02-23,17321.90039,17445.80078,17306,17421.5,310700
03-03-23,17594.34961,17644.75,17427.69922,17451.25,356200
03-06-23,17711.44922,17799.94922,17671.94922,17680.34961,362800
03-08-23,17754.40039,17766.5,17602.25,17665.75,267000
03-09-23,17589.59961,17772.34961,17573.59961,17772.05078,262400
03-10-23,17412.90039,17451.5,17324.34961,17443.80078,235900
03-13-23,17154.30078,17529.90039,17113.44922,17421.90039,254900
03-14-23,17043.30078,17224.65039,16987.09961,17160.55078,290600
03-15-23,16972.15039,17211.34961,16938.90039,17166.44922,248200
03-16-23,16985.59961,17062.44922,16850.15039,16994.65039,349800
03-17-23,17100.05078,17145.80078,16958.15039,17111.80078,408100
03-20-23,16988.40039,17066.59961,16828.34961,17066.59961,241800
03-21-23,17107.5,17127.69922,17016,17060.40039,246700
03-22-23,17151.90039,17207.25,17107.84961,17177.44922,0
03-23-23,17076.90039,17205.40039,17045.30078,17097.40039,219200
03-24-23,16945.05078,17109.44922,16917.34961,17076.19922,228000
03-27-23,16985.69922,17091,16918.55078,16984.30078,218400
03-28-23,16951.69922,17061.75,16913.75,17031.75,238800
03-29-23,17080.69922,17126.15039,16940.59961,16977.30078,345900
03-31-23,17359.75,17381.59961,17204.65039,17210.34961,263900
04-03-23,17398.05078,17428.05078,17312.75,17427.94922,230200
04-05-23,17557.05078,17570.55078,17402.69922,17422.30078,248300
04-06-23,17599.15039,17638.69922,17502.84961,17533.84961,242700
04-10-23,17624.05078,17694.09961,17597.94922,17634.90039,254800
04-11-23,17722.30078,17748.75,17655.15039,17704.80078,304300
04-12-23,17812.40039,17825.75,17717.25,17759.55078,232800
04-13-23,17828,17842.15039,17729.65039,17807.30078,285800
04-17-23,17706.84961,17863,17574.05078,17863,357400
04-18-23,17660.15039,17766.59961,17610.19922,17766.59961,258900
04-19-23,17618.75,17666.15039,17579.84961,17653.34961,281500
04-20-23,17624.44922,17684.44922,17584.34961,17638.59961,215100
04-21-23,17624.05078,17663.19922,17553.94922,17639.75,230200
04-24-23,17743.40039,17754.5,17612.5,17707.55078,255700
04-25-23,17769.25,17807.44922,17716.84961,17761.55078,297400
04-26-23,17813.59961,17827.75,17711.19922,17767.30078,233000
04-27-23,17915.05078,17931.59961,17797.90039,17813.09961,241400
04-28-23,18065,18089.15039,17885.30078,17950.40039,290300
05-02-23,18147.65039,18180.25,18101.75,18124.80078,265200
05-03-23,18089.84961,18116.34961,18042.40039,18113.80078,226200
05-04-23,18255.80078,18267.44922,18066.69922,18081,226600
05-05-23,18069,18216.94922,18055.44922,18117.30078,239700
05-08-23,18264.40039,18286.94922,18100.30078,18120.59961,228400
05-09-23,18265.94922,18344.19922,18229.65039,18303.40039,245400
05-10-23,18315.09961,18326.75,18211.94922,18313.59961,220500
05-11-23,18297,18389.69922,18270.40039,18357.80078,248900
05-12-23,18314.80078,18342.75,18194.55078,18273.75,241700
05-15-23,18398.84961,18458.90039,18287.90039,18339.30078,216100
05-16-23,18286.5,18432.34961,18264.34961,18432.34961,219500
05-17-23,18181.75,18309,18115.34961,18300.44922,229900
05-18-23,18129.94922,18297.19922,18104.84961,18287.5,272100
05-19-23,18203.40039,18218.09961,18060.40039,18186.15039,260900
05-22-23,18314.40039,18335.25,18178.84961,18201.09961,262600
05-23-23,18348,18419.75,18324.19922,18362.90039,270400
05-24-23,18285.40039,18392.59961,18262.94922,18294.80078,232600
05-25-23,18321.15039,18338.09961,18202.40039,18268.90039,235900
05-26-23,18499.34961,18508.55078,18333.15039,18368.34961,198700
05-29-23,18598.65039,18641.19922,18581.25,18619.15039,265300
05-30-23,18633.84961,18662.44922,18575.5,18606.65039,234400
05-31-23,18534.40039,18603.90039,18483.84961,18594.19922,696500
06-01-23,18487.75,18580.30078,18464.55078,18579.40039,265600
06-02-23,18534.09961,18573.69922,18478.40039,18550.84961,270900
06-05-23,18593.84961,18640.15039,18582.80078,18612,256100
06-06-23,18599,18622.75,18531.59961,18600.80078,220800
06-07-23,18726.40039,18738.94922,18636,18665.59961,260100
06-08-23,18634.55078,18777.90039,18615.59961,18725.34961,286500
06-09-23,18563.40039,18676.65039,18555.40039,18655.90039,221800
06-12-23,18601.5,18633.59961,18559.75,18595.05078,179500
06-13-23,18716.15039,18728.90039,18631.80078,18631.80078,233200
06-14-23,18755.90039,18769.69922,18690,18744.59961,261400
06-15-23,18688.09961,18794.09961,18669.05078,18774.44922,263000
06-16-23,18826,18864.69922,18710.5,18723.30078,272800
06-19-23,18755.44922,18881.44922,18719.15039,18873.30078,219800
06-20-23,18816.69922,18839.69922,18660.65039,18752.34961,211600
06-21-23,18856.84961,18875.90039,18794.84961,18849.40039,217500
06-22-23,18771.25,18886.59961,18759.5,18853.59961,252700
06-23-23,18665.5,18756.40039,18647.09961,18741.84961,210600
06-26-23,18691.19922,18722.05078,18646.69922,18682.34961,171300
06-27-23,18817.40039,18829.25,18714.25,18748.55078,222500
06-28-23,18972.09961,19011.25,18861.34961,18908.15039,398800
06-30-23,19189.05078,19201.69922,19024.59961,19076.84961,247900
07-03-23,19322.55078,19345.09961,19234.40039,19246.5,226100
07-04-23,19389,19434.15039,19300,19406.59961,226900
07-05-23,19398.5,19421.59961,19339.59961,19405.94922,224400
07-06-23,19497.30078,19512.19922,19373,19385.69922,268300
07-07-23,19331.80078,19523.59961,19303.59961,19422.80078,237100
07-10-23,19355.90039,19435.84961,19327.09961,19400.34961,268200
07-11-23,19439.40039,19515.09961,19406.44922,19427.09961,251300
07-12-23,19384.30078,19507.69922,19361.75,19497.44922,327900
07-13-23,19413.75,19567,19385.80078,19495.19922,310400
07-14-23,19564.5,19595.34961,19433.5,19493.44922,291200
07-17-23,19711.44922,19731.84961,19562.94922,19612.15039,268700
07-18-23,19749.25,19819.44922,19690.19922,19787.5,286400
07-19-23,19833.15039,19851.69922,19727.44922,19802.94922,259700
07-20-23,19979.15039,19991.84961,19758.40039,19831.69922,274700
07-21-23,19745,19887.40039,19700,19800.44922,312500
07-24-23,19672.34961,19782.75,19658.30078,19748.44922,265600
07-25-23,19680.59961,19729.34961,19615.94922,19729.34961,369700
07-26-23,19778.30078,19825.59961,19716.69922,19733.34961,244700
07-27-23,19659.90039,19867.55078,19603.55078,19850.90039,334900
07-28-23,19646.05078,19695.90039,19563.09961,19659.75,258700
07-31-23,19753.80078,19772.75,19597.59961,19666.34961,295100
08-01-23,19733.55078,19795.59961,19704.59961,19784,298000
08-02-23,19526.55078,19678.25,19423.55078,19655.40039,290700
08-03-23,19381.65039,19537.65039,19296.44922,19463.75,315700
08-04-23,19517,19538.84961,19436.44922,19462.80078,280800
08-07-23,19597.30078,19620.44922,19524.80078,19576.84961,216600
08-08-23,19570.84961,19634.40039,19533.09961,19627.19922,260300
08-09-23,19632.55078,19645.5,19467.5,19578.80078,266500
08-10-23,19543.09961,19623.59961,19495.40039,19605.55078,312200
08-11-23,19428.30078,19557.75,19412.75,19554.25,235500
08-14-23,19434.55078,19465.84961,19257.90039,19383.94922,243900
08-16-23,19465,19482.75,19317.19922,19369,0
08-17-23,19365.25,19461.55078,19326.25,19450.55078,268700
08-18-23,19310.15039,19373.80078,19253.59961,19301.75,256100
08-21-23,19393.59961,19425.94922,19296.30078,19320.65039,262600
08-22-23,19396.44922,19443.5,19381.30078,19417.09961,208700
08-23-23,19444,19472.05078,19366.59961,19439.19922,225200
08-24-23,19386.69922,19584.44922,19369,19535.15039,268300
08-25-23,19265.80078,19339.55078,19229.69922,19297.40039,466500
08-28-23,19306.05078,19366.84961,19249.69922,19298.34961,248200
08-29-23,19342.65039,19377.90039,19309.09961,19374.84961,307400
08-30-23,19347.44922,19452.80078,19334.75,19433.44922,233000
08-31-23,19253.80078,19388.19922,19223.65039,19375.55078,562600
09-01-23,19435.30078,19458.55078,19255.69922,19258.15039,333000
09-04-23,19528.80078,19545.15039,19432.84961,19525.05078,296800
09-05-23,19574.90039,19587.05078,19525.75,19564.65039,256800
09-06-23,19611.05078,19636.44922,19491.5,19581.19922,287600
09-07-23,19727.05078,19737,19550.05078,19598.65039,304900
09-08-23,19819.94922,19867.15039,19727.05078,19774.80078,288100
09-11-23,19996.34961,20008.15039,19865.34961,19890,248800
09-12-23,19993.19922,20110.34961,19914.65039,20110.15039,328100
09-13-23,20070,20096.90039,19944.09961,19989.5,251400
09-14-23,20103.09961,20167.65039,20043.44922,20127.94922,275100
09-15-23,20192.34961,20222.44922,20129.69922,20156.44922,438200
09-18-23,20133.30078,20195.34961,20115.69922,20155.94922,264900
09-20-23,19901.40039,20050.65039,19878.84961,19980.75,378100
09-21-23,19742.34961,19848.75,19709.94922,19840.55078,275100
09-22-23,19674.25,19798.65039,19657.5,19744.84961,246400
09-25-23,19674.55078,19734.15039,19601.55078,19678.19922,188400
09-26-23,19664.69922,19699.34961,19637.44922,19682.80078,204900
09-27-23,19716.44922,19730.69922,19554,19637.05078,203600
09-28-23,19523.55078,19766.65039,19492.09961,19761.80078,352800
09-29-23,19638.30078,19726.25,19551.05078,19581.19922,243500
10-03-23,19528.75,19623.19922,19479.65039,19622.40039,221700
10-04-23,19436.09961,19457.80078,19333.59961,19446.30078,277100
10-05-23,19545.75,19576.94922,19487.30078,19521.84961,234900
10-06-23,19653.5,19675.75,19589.40039,19621.19922,159100
10-09-23,19512.34961,19588.94922,19480.5,19539.44922,165100
10-10-23,19689.84961,19717.80078,19565.44922,19565.59961,216600
10-11-23,19811.34961,19839.19922,19756.94922,19767,213700
10-12-23,19794,19843.30078,19772.65039,19822.69922,217900
10-13-23,19751.05078,19805.40039,19635.30078,19654.55078,255000
10-16-23,19731.75,19781.30078,19691.84961,19737.25,181000
10-17-23,19811.5,19849.75,19775.65039,19843.19922,185800
10-18-23,19671.09961,19840.94922,19659.94922,19820.44922,198900
10-19-23,19624.69922,19681.80078,19512.34961,19545.19922,230300
10-20-23,19542.65039,19593.80078,19518.69922,19542.15039,198300
10-23-23,19281.75,19556.84961,19257.84961,19521.59961,176000
10-25-23,19122.15039,19347.30078,19074.15039,19286.44922,225300
10-26-23,18857.25,19041.69922,18837.84961,19027.25,300400
10-27-23,19047.25,19076.15039,18926.65039,18928.75,205200
10-30-23,19140.90039,19158.5,18940,19053.40039,180100
10-31-23,19079.59961,19233.69922,19056.44922,19232.94922,206000
11-01-23,18989.15039,19096.05078,18973.69922,19064.05078,194100
11-02-23,19133.25,19175.25,19064.15039,19120,245600
11-03-23,19230.59961,19276.25,19210.90039,19241,189500
11-06-23,19411.75,19423,19309.69922,19345.84961,180700
11-07-23,19406.69922,19423.5,19329.09961,19404.05078,198700
11-08-23,19443.5,19464.40039,19401.5,19449.59961,195000
11-09-23,19395.30078,19463.90039,19378.34961,19457.40039,208400
11-10-23,19425.34961,19451.30078,19329.44922,19351.84961,152200
11-13-23,19443.55078,19494.40039,19414.75,19486.75,189300
11-15-23,19675.44922,19693.19922,19579.65039,19651.40039,291500
11-16-23,19765.19922,19875.25,19627,19674.69922,282700
11-17-23,19731.80078,19806,19667.44922,19674.75,236800
11-20-23,19694,19756.44922,19670.5,19731.15039,173800
11-21-23,19783.40039,19829.09961,19754.05078,19770.90039,195000
11-22-23,19811.84961,19825.55078,19703.84961,19784,184500
11-23-23,19802,19875.15039,19786.75,19828.44922,170000
11-24-23,19794.69922,19832.84961,19768.84961,19809.59961,145900
11-28-23,19889.69922,19916.84961,19800,19844.65039,229600
11-29-23,20096.59961,20104.65039,19956.30078,19976.55078,236200
11-30-23,20133.15039,20158.69922,20015.84961,20108.5,486600
12-01-23,20267.90039,20291.55078,20183.69922,20194.09961,265800
12-04-23,20686.80078,20702.65039,20507.75,20601.94922,381100
12-05-23,20855.09961,20864.05078,20711.15039,20808.90039,421000
12-06-23,20937.69922,20961.94922,20852.15039,20950.75,359200
12-07-23,20901.15039,20941.25,20850.80078,20932.40039,275000
12-08-23,20969.40039,21006.09961,20862.69922,20934.09961,292400
12-11-23,20997.09961,21026.09961,20923.69922,20965.30078,212900
12-12-23,20906.40039,21037.90039,20867.15039,21018.55078,244900
12-13-23,20926.34961,20950,20769.5,20929.75,260300
12-14-23,21182.69922,21210.90039,21074.44922,21110.40039,334400
12-15-23,21456.65039,21492.30078,21235.30078,21287.44922,508800
12-18-23,21418.65039,21482.80078,21365.34961,21434.80078,249700
12-19-23,21453.09961,21505.05078,21337.75,21477.65039,249800
12-20-23,21150.15039,21593,21087.34961,21543.5,363900
12-21-23,21255.05078,21288.34961,20976.80078,21033.94922,277500
12-22-23,21349.40039,21390.5,21232.44922,21295.84961,284700
12-26-23,21441.34961,21477.15039,21329.44922,21365.19922,219500
12-27-23,21654.75,21675.75,21495.80078,21497.65039,256500
12-28-23,21778.69922,21801.44922,21678,21715,393100
12-29-23,21731.40039,21770.30078,21676.90039,21737.65039,270900
01-01-24,21741.90039,21834.34961,21680.84961,21727.75,154000
01-02-24,21665.80078,21755.59961,21555.65039,21751.34961,263700
01-03-24,21517.34961,21677,21500.34961,21661.09961,311900
01-04-24,21658.59961,21685.65039,21564.55078,21605.80078,339200
01-05-24,21710.80078,21749.59961,21629.19922,21705.75,309300
01-08-24,21513,21763.94922,21492.90039,21747.59961,231500
01-09-24,21544.84961,21724.44922,21517.84961,21653.59961,228600
01-10-24,21618.69922,21641.84961,21448.65039,21529.30078,217000
01-11-24,21647.19922,21726.5,21593.75,21688,212500
01-12-24,21894.55078,21928.25,21715.15039,21773.55078,294700
01-15-24,22097.44922,22115.55078,21963.55078,22053.15039,345500
01-16-24,22032.30078,22124.15039,21969.80078,22080.5,292400
01-17-24,21571.94922,21851.5,21550.44922,21647.25,456000
01-18-24,21462.25,21539.40039,21285.55078,21414.19922,387300
01-19-24,21622.40039,21670.59961,21575,21615.19922,343100
01-23-24,21238.80078,21750.25,21192.59961,21716.69922,449700
01-24-24,21453.94922,21482.34961,21137.19922,21185.25,407500
01-25-24,21352.59961,21459,21247.05078,21454.59961,418100
01-29-24,21737.59961,21763.25,21429.59961,21433.09961,376700
01-30-24,21522.09961,21813.05078,21501.80078,21775.75,375100
01-31-24,21725.69922,21741.34961,21448.84961,21487.25,410600
02-01-24,21697.44922,21832.94922,21658.75,21780.65039,332500
02-02-24,21853.80078,22126.80078,21805.55078,21812.75,442800
02-05-24,21771.69922,21964.30078,21726.94922,21921.05078,440800
02-06-24,21929.40039,21951.40039,21737.55078,21825.19922,371000
02-07-24,21930.5,22053.30078,21860.15039,22045.05078,346300
02-08-24,21717.94922,22011.05078,21665.30078,22009.65039,491100
02-09-24,21782.5,21804.44922,21629.90039,21727,349200
02-12-24,21616.05078,21831.69922,21574.75,21800.80078,287400
02-13-24,21743.25,21766.80078,21543.34961,21664.30078,365800
02-14-24,21840.05078,21870.84961,21530.19922,21578.15039,359100
02-15-24,21910.75,21953.84961,21794.80078,21906.55078,345400
02-16-24,22040.69922,22068.65039,21968.94922,22020.30078,343900
02-19-24,22122.25,22186.65039,22021.05078,22103.44922,0
02-20-24,22196.94922,22215.59961,22045.84961,22099.19922,295700
02-21-24,22055.05078,22249.40039,21997.94922,22248.84961,364500
02-22-24,22217.44922,22252.5,21875.25,22081.55078,343500
02-23-24,22212.69922,22297.5,22186.09961,22290,226000
02-26-24,22122.05078,22202.15039,22075.15039,22169.19922,207800
02-27-24,22198.34961,22218.25,22085.65039,22090.19922,252200
02-28-24,21951.15039,22229.15039,21915.84961,22214.09961,203000
02-29-24,21982.80078,22060.55078,21860.65039,21935.19922,360200
03-01-24,22338.75,22353.30078,22047.75,22048.30078,351500
03-04-24,22405.59961,22440.90039,22358.30078,22403.5,298800
03-05-24,22356.30078,22416.90039,22269.15039,22371.25,296200
03-06-24,22474.05078,22497.19922,22224.34961,22327.5,312300
03-07-24,22493.55078,22525.65039,22430,22505.30078,379900
03-11-24,22332.65039,22526.59961,22307.25,22517.5,277900
03-12-24,22335.69922,22452.55078,22256,22334.44922,299200
03-13-24,21997.69922,22446.75,21905.65039,22432.19922,493300
03-14-24,22146.65039,22204.59961,21917.5,21982.55078,426700
03-15-24,22023.34961,22120.90039,21931.69922,22064.84961,661500
03-18-24,22055.69922,22123.69922,21916.55078,21990.09961,356300
03-19-24,21817.44922,21978.30078,21793.09961,21946.44922,344200
03-20-24,21839.09961,21930.90039,21710.19922,21843.90039,312400
03-21-24,22011.94922,22080.94922,21941.30078,21989.90039,353200
03-22-24,22096.75,22180.69922,21883.30078,21932.19922,388700
03-26-24,22004.69922,22073.19922,21947.55078,21947.90039,328400
03-27-24,22123.65039,22193.59961,22052.84961,22053.94922,409100
03-28-24,22326.90039,22516,22163.59961,22163.59961,410500
04-01-24,22462,22529.94922,22427.75,22455,0
04-02-24,22453.30078,22497.59961,22388.15039,22458.80078,289500
04-03-24,22434.65039,22521.09961,22346.5,22385.69922,309600
